ImageId,Label
42001,22077
42002,5664
42003,16244
42004,2941
42005,33077
42006,30294
42007,9788
42008,33811
42009,5197
42010,1553
42011,15767
42012,22314
42013,30382
42014,5508
42015,2479
42016,2325
42017,19510
42018,37446
42019,30481
42020,12886
42021,24848
42022,30946
42023,12091
42024,11530
42025,31914
42026,19280
42027,17264
42028,29020
42029,37044
42030,37384
42031,26485
42032,19105
42033,15565
42034,2356
42035,3768
42036,18954
42037,5906
42038,37367
42039,40589
42040,8983
42041,24359
42042,17906
42043,13955
42044,28226
42045,15633
42046,13551
42047,9606
42048,4490
42049,33118
42050,33396
42051,17599
42052,215
42053,12736
42054,22376
42055,4735
42056,28087
42057,16613
42058,9444
42059,6068
42060,758
42061,9399
42062,23097
42063,4352
42064,6992
42065,18036
42066,31132
42067,17076
42068,22544
42069,32595
42070,9483
42071,7070
42072,34301
42073,7849
42074,28089
42075,22293
42076,30245
42077,16277
42078,15199
42079,16643
42080,38161
42081,40234
42082,10131
42083,14328
42084,28462
42085,28486
42086,6583
42087,40365
42088,33327
42089,23076
42090,12971
42091,34426
42092,5078
42093,20927
42094,26800
42095,31100
42096,5688
42097,5521
42098,13775
42099,35267
42100,7979
42101,21071
42102,22976
42103,27260
42104,14994
42105,26841
42106,15490
42107,17753
42108,36739
42109,16835
42110,39190
42111,41835
42112,24773
42113,38805
42114,31395
42115,21485
42116,8875
42117,2035
42118,14269
42119,18299
42120,16663
42121,10485
42122,13458
42123,4638
42124,16837
42125,13242
42126,4406
42127,38199
42128,22635
42129,35944
42130,5050
42131,24844
42132,2851
42133,1952
42134,34416
42135,33214
42136,36411
42137,34762
42138,31330
42139,34274
42140,370
42141,13671
42142,19273
42143,17157
42144,30598
42145,25378
42146,2130
42147,359
42148,36035
42149,38774
42150,36154
42151,11018
42152,33172
42153,18134
42154,41066
42155,1150
42156,22459
42157,8759
42158,28571
42159,25139
42160,40174
42161,20787
42162,6333
42163,4000
42164,39577
42165,13343
42166,11095
42167,1004
42168,2974
42169,34297
42170,3387
42171,31747
42172,14018
42173,26175
42174,3479
42175,41269
42176,66
42177,40979
42178,6765
42179,4575
42180,12611
42181,29084
42182,13765
42183,12220
42184,27482
42185,1802
42186,11402
42187,41375
42188,14691
42189,23734
42190,10478
42191,1887
42192,22892
42193,15015
42194,14109
42195,41819
42196,24731
42197,19133
42198,522
42199,27836
42200,30410
42201,8656
42202,19473
42203,21716
42204,39815
42205,27157
42206,12472
42207,38542
42208,7633
42209,41829
42210,26361
42211,31594
42212,28508
42213,16672
42214,31430
42215,6747
42216,23711
42217,296
42218,14555
42219,18796
42220,30414
42221,9644
42222,17151
42223,24187
42224,32959
42225,1080
42226,21571
42227,8878
42228,25381
42229,19129
42230,27731
42231,2681
42232,7962
42233,8264
42234,33591
42235,28862
42236,4480
42237,8505
42238,34203
42239,16961
42240,5793
42241,1397
42242,15836
42243,2288
42244,27602
42245,588
42246,3446
42247,13397
42248,18764
42249,11611
42250,2868
42251,11991
42252,940
42253,26972
42254,18017
42255,37066
42256,10728
42257,1318
42258,6502
42259,5719
42260,1123
42261,11381
42262,7273
42263,28190
42264,708
42265,41305
42266,23679
42267,41620
42268,4444
42269,9657
42270,37335
42271,10658
42272,8701
42273,19418
42274,33550
42275,4305
42276,24330
42277,24067
42278,25125
42279,6239
42280,8958
42281,6049
42282,22869
42283,11194
42284,18734
42285,39577
42286,38433
42287,34296
42288,6862
42289,14842
42290,24467
42291,35110
42292,22525
42293,31571
42294,31332
42295,20925
42296,29829
42297,20039
42298,24119
42299,31518
42300,18211
42301,38040
42302,30610
42303,41519
42304,25201
42305,13414
42306,35798
42307,6183
42308,32693
42309,40817
42310,7957
42311,15119
42312,6622
42313,22912
42314,16834
42315,10816
42316,36283
42317,39910
42318,22754
42319,28970
42320,25067
42321,36957
42322,22456
42323,36287
42324,41970
42325,17726
42326,4993
42327,26456
42328,42
42329,26578
42330,1138
42331,16061
42332,14086
42333,17289
42334,4644
42335,32114
42336,20658
42337,34416
42338,31252
42339,24109
42340,20888
42341,34983
42342,7336
42343,21144
42344,6131
42345,10790
42346,6433
42347,40819
42348,4776
42349,17356
42350,38837
42351,16633
42352,16862
42353,41729
42354,29358
42355,18482
42356,26791
42357,11314
42358,14867
42359,20948
42360,7322
42361,13062
42362,16122
42363,24594
42364,30642
42365,14498
42366,7177
42367,26810
42368,40384
42369,2372
42370,35092
42371,17592
